crime_type,category,date_reported,time_reported,zone,location_name,latitude,longitude,status,severity,weapon_involved,victim_age,victim_gender,day_of_week,hour_of_day,description
Shoplifting,Theft,2025-07-19,14:09:15,Zone 3,Harbor Front,13.085702,80.269777,Under Investigation,Low,0,26,Female,Saturday,14,Shoplifting reported near Harbor Front.
Trespassing,Public Order,2026-05-14,07:18:21,Zone 3,Central Market,13.118661,80.31984,Under Investigation,High,0,17,Female,Thursday,7,Trespassing reported near Industrial Estate.
Homicide,Violent Crime,2025-07-29,22:57:20,Zone 4,Industrial Estate,13.104119,80.334994,Solved,High,0,60,Male,Tuesday,22,Homicide reported near Riverside Park.
Drug Possession,Narcotics,2025-07-18,15:52:52,Zone 3,Lakeview Colony,13.042556,80.280828,Under Investigation,High,0,64,Male,Friday,15,Drug Possession reported near Greenfield Sector 7.
Public Intoxication,Public Order,2025-11-21,22:46:17,Zone 3,Industrial Estate,13.013408,80.253032,Pending,Low,0,70,Male,Friday,22,Public Intoxication reported near Railway Station Rd.
Vehicle Theft,Theft,2026-01-29,17:30:35,Zone 2,Hilltop Avenue,13.026079,80.234341,Pending,Low,1,28,Other,Thursday,17,Vehicle Theft reported near North Bus Depot.
Phishing,Cybercrime,2026-04-07,19:18:15,Zone 5,Old Town Square,13.129213,80.258379,Solved,High,0,29,Male,Tuesday,19,Phishing reported near Old Town Square.
Pickpocketing,Theft,2026-06-05,12:58:09,Zone 1,Old Town Square,13.07417,80.251823,Solved,Low,0,45,Female,Friday,12,Pickpocketing reported near North Bus Depot.
Online Fraud,Cybercrime,2025-09-19,07:01:07,Zone 6,University Gate,13.011088,80.242946,Solved,Medium,0,40,Other,Friday,7,Online Fraud reported near MG Road Junction.
Identity Theft,Cybercrime,2025-12-26,07:53:48,Zone 6,Hilltop Avenue,13.008225,80.235965,Pending,Medium,0,19,Other,Friday,7,Identity Theft reported near University Gate.
Phishing,Cybercrime,2026-06-12,03:33:10,Zone 6,Industrial Estate,13.15312,80.228302,Under Investigation,High,0,21,Female,Friday,3,Phishing reported near Industrial Estate.
Vehicle Theft,Theft,2025-10-20,15:25:44,Zone 1,Old Town Square,13.027497,80.322355,Solved,High,0,30,Male,Monday,15,Vehicle Theft reported near MG Road Junction.
Vehicle Theft,Theft,2025-08-21,12:02:14,Zone 6,Lakeview Colony,13.124064,80.342695,Solved,Critical,0,64,Other,Thursday,12,Vehicle Theft reported near Harbor Front.
Homicide,Violent Crime,2025-11-06,20:44:26,Zone 4,MG Road Junction,13.090705,80.197121,Pending,High,0,38,Other,Thursday,20,Homicide reported near Central Market.
Drug Possession,Narcotics,2025-12-25,02:00:58,Zone 5,North Bus Depot,13.103129,80.290347,Solved,Low,0,64,Other,Thursday,2,Drug Possession reported near Old Town Square.
Public Intoxication,Public Order,2025-12-27,19:28:01,Zone 3,Central Market,13.073987,80.345538,Solved,Medium,0,18,Female,Saturday,19,Public Intoxication reported near Central Market.
Robbery,Violent Crime,2025-09-28,21:43:13,Zone 6,Greenfield Sector 7,13.144564,80.321558,Pending,High,0,72,Female,Sunday,21,Robbery reported near North Bus Depot.
Drug Possession,Narcotics,2026-03-28,21:13:31,Zone 5,Riverside Park,13.154187,80.252871,Pending,Low,1,74,Female,Saturday,21,Drug Possession reported near Railway Station Rd.
Assault,Violent Crime,2025-09-04,22:54:01,Zone 5,Lakeview Colony,13.101784,80.327847,Solved,Critical,1,62,Other,Thursday,22,Assault reported near Riverside Park.
Burglary,Theft,2025-08-20,22:47:56,Zone 1,Central Market,13.062351,80.235497,Solved,Medium,0,35,Male,Wednesday,22,Burglary reported near Old Town Square.
Assault,Violent Crime,2025-08-25,22:59:30,Zone 4,University Gate,13.030633,80.208714,Under Investigation,High,1,51,Female,Monday,22,Assault reported near Old Town Square.
Vandalism,Public Order,2025-07-27,09:25:43,Zone 1,MG Road Junction,13.063088,80.196646,Solved,Low,0,52,Male,Sunday,9,Vandalism reported near Harbor Front.
Identity Theft,Cybercrime,2025-11-13,19:01:42,Zone 1,MG Road Junction,13.046214,80.330219,Solved,Low,0,57,Male,Thursday,19,Identity Theft reported near Greenfield Sector 7.
Vandalism,Public Order,2026-06-22,13:38:23,Zone 4,Hilltop Avenue,13.075701,80.266296,Solved,Low,0,50,Male,Monday,13,Vandalism reported near Industrial Estate.
Vandalism,Public Order,2025-09-21,13:22:49,Zone 6,Industrial Estate,13.049492,80.320976,Pending,Medium,0,43,Male,Sunday,13,Vandalism reported near Greenfield Sector 7.
Identity Theft,Cybercrime,2025-08-19,10:34:55,Zone 3,Harbor Front,13.111554,80.333059,Under Investigation,Low,0,25,Other,Tuesday,10,Identity Theft reported near Industrial Estate.
Robbery,Violent Crime,2026-04-01,04:26:56,Zone 5,Hilltop Avenue,13.020601,80.270921,Solved,Low,0,58,Male,Wednesday,4,Robbery reported near University Gate.
Hacking,Cybercrime,2026-05-17,17:51:23,Zone 2,Greenfield Sector 7,13.090452,80.253894,Solved,Medium,0,38,Other,Sunday,17,Hacking reported near Lakeview Colony.
Burglary,Theft,2025-08-22,12:53:44,Zone 6,Central Market,13.145937,80.220833,Pending,Low,0,47,Male,Friday,12,Burglary reported near Central Market.
Domestic Violence,Violent Crime,2026-02-11,18:06:52,Zone 6,Harbor Front,13.033261,80.193295,Under Investigation,Medium,0,20,Male,Wednesday,18,Domestic Violence reported near Old Town Square.
Public Intoxication,Public Order,2025-08-11,00:38:19,Zone 4,Harbor Front,13.057607,80.250687,Under Investigation,Low,0,55,Other,Monday,0,Public Intoxication reported near MG Road Junction.
Phishing,Cybercrime,2025-11-02,08:16:44,Zone 6,Lakeview Colony,13.078476,80.318353,Pending,High,0,60,Other,Sunday,8,Phishing reported near Greenfield Sector 7.
Vandalism,Public Order,2026-01-03,23:48:57,Zone 3,Harbor Front,13.016593,80.231045,Under Investigation,Low,0,75,Male,Saturday,23,Vandalism reported near Railway Station Rd.
Domestic Violence,Violent Crime,2026-06-28,13:49:45,Zone 4,Harbor Front,13.139443,80.225349,Solved,High,0,65,Male,Sunday,13,Domestic Violence reported near Hilltop Avenue.
Robbery,Violent Crime,2025-11-21,20:24:51,Zone 4,Railway Station Rd,13.150697,80.295292,Pending,Low,1,27,Female,Friday,20,Robbery reported near Old Town Square.
Shoplifting,Theft,2025-12-10,15:53:04,Zone 2,Riverside Park,13.03456,80.2685,Under Investigation,Low,0,65,Female,Wednesday,15,Shoplifting reported near MG Road Junction.
Public Intoxication,Public Order,2025-07-31,21:14:45,Zone 3,University Gate,13.073847,80.302825,Solved,High,0,54,Other,Thursday,21,Public Intoxication reported near MG Road Junction.
Domestic Violence,Violent Crime,2026-07-05,22:23:40,Zone 4,Central Market,13.089658,80.25768,Pending,Low,1,20,Male,Sunday,22,Domestic Violence reported near Old Town Square.
Hacking,Cybercrime,2025-10-30,21:56:08,Zone 6,Railway Station Rd,13.022062,80.216619,Pending,Medium,0,58,Other,Thursday,21,Hacking reported near Industrial Estate.
Drug Possession,Narcotics,2025-08-14,13:07:35,Zone 5,Industrial Estate,13.009061,80.223092,Solved,Low,0,19,Other,Thursday,13,Drug Possession reported near MG Road Junction.
Shoplifting,Theft,2025-09-19,00:56:51,Zone 1,Railway Station Rd,13.02463,80.338017,Solved,High,0,46,Female,Friday,0,Shoplifting reported near North Bus Depot.
Vehicle Theft,Theft,2026-05-03,18:09:55,Zone 1,Harbor Front,13.124383,80.26713,Solved,Critical,0,64,Female,Sunday,18,Vehicle Theft reported near Harbor Front.
Hacking,Cybercrime,2026-06-15,01:20:49,Zone 3,Railway Station Rd,13.065841,80.221517,Solved,Medium,0,54,Male,Monday,1,Hacking reported near University Gate.
Pickpocketing,Theft,2025-08-19,06:38:33,Zone 2,Central Market,13.04872,80.314396,Solved,Low,0,61,Male,Tuesday,6,Pickpocketing reported near Harbor Front.
Pickpocketing,Theft,2026-02-22,15:58:21,Zone 1,Hilltop Avenue,13.05126,80.276347,Under Investigation,Low,0,47,Female,Sunday,15,Pickpocketing reported near University Gate.
Drug Possession,Narcotics,2025-11-17,01:31:21,Zone 5,Old Town Square,13.087938,80.289319,Under Investigation,Low,0,54,Other,Monday,1,Drug Possession reported near North Bus Depot.
Online Fraud,Cybercrime,2025-09-30,08:19:12,Zone 3,Lakeview Colony,13.134818,80.273527,Solved,Medium,0,58,Other,Tuesday,8,Online Fraud reported near North Bus Depot.
Homicide,Violent Crime,2026-04-09,20:35:20,Zone 5,Old Town Square,13.035414,80.26473,Pending,High,0,56,Male,Thursday,20,Homicide reported near North Bus Depot.
Online Fraud,Cybercrime,2025-08-18,08:25:30,Zone 5,Old Town Square,13.117427,80.339897,Solved,Medium,0,54,Male,Monday,8,Online Fraud reported near Old Town Square.
Drug Trafficking,Narcotics,2026-07-15,02:59:16,Zone 1,Greenfield Sector 7,13.151149,80.263462,Solved,Critical,0,42,Male,Wednesday,2,Drug Trafficking reported near Old Town Square.
Trespassing,Public Order,2026-05-21,15:20:07,Zone 1,Central Market,13.025056,80.210367,Solved,Medium,1,33,Male,Thursday,15,Trespassing reported near Hilltop Avenue.
Drug Possession,Narcotics,2025-07-29,02:57:42,Zone 5,Lakeview Colony,13.093351,80.192277,Solved,Low,0,31,Male,Tuesday,2,Drug Possession reported near North Bus Depot.
Identity Theft,Cybercrime,2026-03-17,00:37:20,Zone 5,Hilltop Avenue,13.124676,80.218195,Solved,Critical,0,55,Male,Tuesday,0,Identity Theft reported near Riverside Park.
Drug Trafficking,Narcotics,2025-11-10,01:54:26,Zone 1,Central Market,13.038056,80.264221,Solved,Low,0,16,Male,Monday,1,Drug Trafficking reported near Harbor Front.
Trespassing,Public Order,2025-12-30,09:06:54,Zone 3,Greenfield Sector 7,13.01582,80.304688,Solved,Low,0,64,Female,Tuesday,9,Trespassing reported near MG Road Junction.
Domestic Violence,Violent Crime,2025-12-04,14:01:31,Zone 5,Central Market,13.083909,80.252764,Solved,High,0,54,Other,Thursday,14,Domestic Violence reported near Harbor Front.
Domestic Violence,Violent Crime,2026-04-01,13:25:17,Zone 4,MG Road Junction,13.042503,80.237209,Pending,Medium,1,59,Other,Wednesday,13,Domestic Violence reported near North Bus Depot.
Trespassing,Public Order,2026-07-04,18:23:24,Zone 6,Industrial Estate,13.005979,80.260507,Solved,Low,0,30,Female,Saturday,18,Trespassing reported near Industrial Estate.
Vandalism,Public Order,2026-03-25,19:38:33,Zone 3,Central Market,13.132323,80.326044,Pending,Critical,0,61,Male,Wednesday,19,Vandalism reported near Central Market.
Shoplifting,Theft,2026-06-05,21:28:09,Zone 5,Old Town Square,13.049604,80.32806,Solved,Low,1,26,Other,Friday,21,Shoplifting reported near Central Market.
Drug Possession,Narcotics,2025-09-25,20:55:55,Zone 2,North Bus Depot,13.153341,80.218851,Under Investigation,Medium,1,17,Male,Thursday,20,Drug Possession reported near Greenfield Sector 7.
Phishing,Cybercrime,2026-03-01,12:49:29,Zone 6,Riverside Park,13.09125,80.249729,Pending,Low,0,31,Male,Sunday,12,Phishing reported near Industrial Estate.
Drug Possession,Narcotics,2025-11-01,22:25:08,Zone 2,Industrial Estate,13.02942,80.265751,Pending,High,0,52,Female,Saturday,22,Drug Possession reported near Railway Station Rd.
Vehicle Theft,Theft,2025-07-16,06:38:48,Zone 2,Railway Station Rd,13.009464,80.347957,Pending,Low,0,59,Female,Wednesday,6,Vehicle Theft reported near Hilltop Avenue.
Drug Trafficking,Narcotics,2025-08-18,04:38:36,Zone 5,Hilltop Avenue,13.117637,80.310595,Solved,Medium,0,70,Female,Monday,4,Drug Trafficking reported near Riverside Park.
Shoplifting,Theft,2026-02-14,14:26:24,Zone 1,Lakeview Colony,13.062851,80.25048,Solved,Low,0,65,Other,Saturday,14,Shoplifting reported near Riverside Park.
Homicide,Violent Crime,2025-12-26,07:57:14,Zone 4,North Bus Depot,13.147286,80.231167,Solved,High,1,45,Male,Friday,7,Homicide reported near Lakeview Colony.
Burglary,Theft,2025-08-23,09:03:22,Zone 1,Industrial Estate,13.077114,80.252549,Pending,Medium,0,68,Other,Saturday,9,Burglary reported near Hilltop Avenue.
Domestic Violence,Violent Crime,2026-06-11,13:19:59,Zone 4,MG Road Junction,13.083775,80.192469,Pending,Medium,1,17,Other,Thursday,13,Domestic Violence reported near North Bus Depot.
Phishing,Cybercrime,2025-11-28,08:39:29,Zone 6,Greenfield Sector 7,13.058208,80.242947,Under Investigation,Low,0,23,Female,Friday,8,Phishing reported near Railway Station Rd.
Vehicle Theft,Theft,2026-04-28,09:45:28,Zone 4,Greenfield Sector 7,13.119732,80.292333,Solved,Low,0,40,Female,Tuesday,9,Vehicle Theft reported near Lakeview Colony.
Shoplifting,Theft,2026-07-10,07:36:12,Zone 2,North Bus Depot,13.069514,80.322848,Solved,Low,0,16,Male,Friday,7,Shoplifting reported near Riverside Park.
Pickpocketing,Theft,2026-06-13,12:10:59,Zone 1,University Gate,13.110318,80.208978,Solved,Medium,0,39,Female,Saturday,12,Pickpocketing reported near Old Town Square.
Identity Theft,Cybercrime,2025-10-20,16:53:45,Zone 5,North Bus Depot,13.097065,80.299916,Pending,High,0,30,Male,Monday,16,Identity Theft reported near Lakeview Colony.
Homicide,Violent Crime,2025-11-02,03:37:19,Zone 4,North Bus Depot,13.130968,80.231923,Under Investigation,Critical,1,72,Male,Sunday,3,Homicide reported near Railway Station Rd.
Drug Trafficking,Narcotics,2025-12-16,05:21:19,Zone 2,Industrial Estate,13.015681,80.216691,Solved,Medium,1,75,Male,Tuesday,5,Drug Trafficking reported near Lakeview Colony.
Domestic Violence,Violent Crime,2025-11-16,14:23:07,Zone 4,North Bus Depot,13.051981,80.268543,Solved,Critical,1,41,Female,Sunday,14,Domestic Violence reported near North Bus Depot.
Vandalism,Public Order,2026-01-25,18:37:24,Zone 3,Lakeview Colony,13.139212,80.206806,Solved,Low,0,47,Male,Sunday,18,Vandalism reported near University Gate.
Phishing,Cybercrime,2026-07-14,04:08:18,Zone 6,Industrial Estate,13.160092,80.249383,Under Investigation,Medium,0,58,Other,Tuesday,4,Phishing reported near Central Market.
Shoplifting,Theft,2026-01-28,01:37:05,Zone 1,Lakeview Colony,13.16081,80.288998,Solved,High,0,68,Female,Wednesday,1,Shoplifting reported near Central Market.
Drug Possession,Narcotics,2025-09-06,01:29:38,Zone 3,North Bus Depot,13.139083,80.215883,Pending,Medium,0,60,Female,Saturday,1,Drug Possession reported near MG Road Junction.
Domestic Violence,Violent Crime,2025-11-26,23:19:18,Zone 4,Old Town Square,13.107258,80.321042,Pending,High,1,58,Female,Wednesday,23,Domestic Violence reported near North Bus Depot.
Burglary,Theft,2026-06-28,02:56:07,Zone 2,Industrial Estate,13.026329,80.350416,Solved,Low,0,60,Female,Sunday,2,Burglary reported near Greenfield Sector 7.
Public Intoxication,Public Order,2026-05-14,19:42:35,Zone 2,Industrial Estate,13.119401,80.239107,Pending,Medium,1,26,Female,Thursday,19,Public Intoxication reported near North Bus Depot.
Vandalism,Public Order,2026-03-08,08:31:29,Zone 3,Industrial Estate,13.108033,80.254298,Solved,Medium,0,63,Other,Sunday,8,Vandalism reported near Lakeview Colony.
Online Fraud,Cybercrime,2026-07-13,22:26:05,Zone 6,North Bus Depot,13.080603,80.348839,Under Investigation,Low,0,48,Other,Monday,22,Online Fraud reported near Railway Station Rd.
Domestic Violence,Violent Crime,2026-06-27,19:45:21,Zone 3,Hilltop Avenue,13.130733,80.250384,Under Investigation,Low,1,28,Male,Saturday,19,Domestic Violence reported near Riverside Park.
Drug Trafficking,Narcotics,2025-10-17,22:37:39,Zone 3,University Gate,13.150953,80.222166,Solved,Medium,0,53,Other,Friday,22,Drug Trafficking reported near Old Town Square.
Vandalism,Public Order,2026-02-20,01:37:40,Zone 5,Greenfield Sector 7,13.157114,80.200748,Pending,High,0,52,Male,Friday,1,Vandalism reported near Industrial Estate.
Drug Trafficking,Narcotics,2026-02-12,21:52:14,Zone 5,North Bus Depot,13.109649,80.28343,Solved,Low,0,68,Female,Thursday,21,Drug Trafficking reported near North Bus Depot.
Assault,Violent Crime,2026-06-08,18:57:34,Zone 4,Old Town Square,13.153087,80.193315,Pending,Critical,1,65,Other,Monday,18,Assault reported near Harbor Front.
Burglary,Theft,2025-10-15,09:07:54,Zone 1,North Bus Depot,13.040273,80.348984,Pending,Medium,0,16,Other,Wednesday,9,Burglary reported near Lakeview Colony.
Burglary,Theft,2025-11-13,04:59:47,Zone 1,Lakeview Colony,13.119663,80.217744,Solved,Low,0,29,Other,Thursday,4,Burglary reported near Riverside Park.
Public Intoxication,Public Order,2026-02-07,19:40:04,Zone 3,Central Market,13.014896,80.215591,Under Investigation,Low,1,65,Female,Saturday,19,Public Intoxication reported near Riverside Park.
Phishing,Cybercrime,2025-11-01,11:07:30,Zone 1,Industrial Estate,13.10958,80.235228,Pending,Low,0,27,Female,Saturday,11,Phishing reported near North Bus Depot.
Vehicle Theft,Theft,2026-06-14,06:10:33,Zone 5,MG Road Junction,13.133135,80.276269,Pending,Medium,1,37,Female,Sunday,6,Vehicle Theft reported near Lakeview Colony.
Vandalism,Public Order,2026-04-22,18:30:49,Zone 1,Railway Station Rd,13.096517,80.302277,Under Investigation,Critical,0,51,Female,Wednesday,18,Vandalism reported near Lakeview Colony.
Assault,Violent Crime,2026-06-27,09:36:22,Zone 3,MG Road Junction,13.005439,80.297033,Pending,High,0,36,Female,Saturday,9,Assault reported near Central Market.
Drug Possession,Narcotics,2025-09-16,07:35:35,Zone 2,Industrial Estate,13.118845,80.245213,Under Investigation,Medium,0,31,Female,Tuesday,7,Drug Possession reported near Hilltop Avenue.
Assault,Violent Crime,2026-06-18,19:08:44,Zone 4,Central Market,13.044025,80.251433,Solved,Medium,0,49,Female,Thursday,19,Assault reported near Central Market.
Homicide,Violent Crime,2025-12-20,01:18:20,Zone 4,Central Market,13.032264,80.205592,Pending,Medium,1,39,Male,Saturday,1,Homicide reported near Central Market.
Phishing,Cybercrime,2026-04-13,05:51:05,Zone 3,Hilltop Avenue,13.039743,80.234942,Pending,High,0,74,Male,Monday,5,Phishing reported near University Gate.
Drug Trafficking,Narcotics,2025-10-06,03:57:25,Zone 5,Old Town Square,13.123068,80.197218,Pending,High,0,63,Male,Monday,3,Drug Trafficking reported near Riverside Park.
Vehicle Theft,Theft,2026-05-22,02:51:23,Zone 1,North Bus Depot,13.067658,80.207803,Under Investigation,Low,1,21,Female,Friday,2,Vehicle Theft reported near Riverside Park.
Drug Possession,Narcotics,2025-08-28,07:46:45,Zone 2,Lakeview Colony,13.022966,80.308758,Solved,High,0,16,Other,Thursday,7,Drug Possession reported near Hilltop Avenue.
Domestic Violence,Violent Crime,2025-10-09,03:13:39,Zone 3,Greenfield Sector 7,13.109401,80.221495,Solved,High,0,42,Other,Thursday,3,Domestic Violence reported near Old Town Square.
Vandalism,Public Order,2025-07-19,11:38:31,Zone 3,Greenfield Sector 7,13.002932,80.209038,Pending,Medium,0,27,Other,Saturday,11,Vandalism reported near Greenfield Sector 7.
Robbery,Violent Crime,2025-07-17,11:15:47,Zone 1,Central Market,13.01015,80.202252,Solved,High,1,52,Male,Thursday,11,Robbery reported near Harbor Front.
Pickpocketing,Theft,2026-05-22,07:09:09,Zone 2,Harbor Front,13.11859,80.316396,Solved,High,0,49,Other,Friday,7,Pickpocketing reported near Old Town Square.
Robbery,Violent Crime,2025-12-28,09:42:54,Zone 4,MG Road Junction,13.154182,80.229543,Solved,High,0,43,Female,Sunday,9,Robbery reported near Riverside Park.
Pickpocketing,Theft,2025-10-21,07:07:56,Zone 1,Hilltop Avenue,13.048654,80.236051,Pending,Low,0,20,Other,Tuesday,7,Pickpocketing reported near Railway Station Rd.
Vandalism,Public Order,2025-11-28,19:17:53,Zone 3,MG Road Junction,13.078994,80.253195,Under Investigation,Low,0,65,Male,Friday,19,Vandalism reported near Harbor Front.
Robbery,Violent Crime,2026-05-21,20:33:16,Zone 4,MG Road Junction,13.113085,80.23419,Pending,High,1,20,Other,Thursday,20,Robbery reported near Central Market.
Online Fraud,Cybercrime,2025-08-07,20:36:51,Zone 2,MG Road Junction,13.150609,80.338192,Under Investigation,Medium,0,25,Male,Thursday,20,Online Fraud reported near Industrial Estate.
Trespassing,Public Order,2026-01-23,16:11:06,Zone 6,North Bus Depot,13.119919,80.306041,Solved,Low,0,56,Female,Friday,16,Trespassing reported near Harbor Front.
Phishing,Cybercrime,2026-01-02,14:56:15,Zone 5,Hilltop Avenue,13.054654,80.327947,Pending,Low,0,37,Female,Friday,14,Phishing reported near North Bus Depot.
Vehicle Theft,Theft,2026-05-24,20:14:26,Zone 4,Harbor Front,13.141348,80.223493,Solved,Low,1,51,Female,Sunday,20,Vehicle Theft reported near University Gate.
Burglary,Theft,2026-03-26,04:16:00,Zone 2,North Bus Depot,13.149613,80.256162,Under Investigation,Critical,0,21,Female,Thursday,4,Burglary reported near North Bus Depot.
Drug Trafficking,Narcotics,2025-09-12,19:48:15,Zone 5,MG Road Junction,13.009767,80.300939,Pending,Medium,0,75,Female,Friday,19,Drug Trafficking reported near North Bus Depot.
Vehicle Theft,Theft,2025-10-31,08:36:17,Zone 4,Riverside Park,13.002715,80.302121,Pending,High,0,17,Other,Friday,8,Vehicle Theft reported near Central Market.
Online Fraud,Cybercrime,2026-04-19,05:02:46,Zone 6,MG Road Junction,13.031403,80.323064,Solved,Low,0,58,Female,Sunday,5,Online Fraud reported near North Bus Depot.
Drug Possession,Narcotics,2026-04-02,16:56:48,Zone 5,Railway Station Rd,13.050635,80.300582,Under Investigation,Low,0,40,Male,Thursday,16,Drug Possession reported near Riverside Park.
Vandalism,Public Order,2025-07-30,06:48:10,Zone 3,Old Town Square,13.036586,80.215298,Under Investigation,Low,0,61,Other,Wednesday,6,Vandalism reported near University Gate.
Drug Trafficking,Narcotics,2025-11-27,21:38:34,Zone 5,Railway Station Rd,13.108383,80.225194,Under Investigation,Low,0,33,Female,Thursday,21,Drug Trafficking reported near Old Town Square.
Drug Possession,Narcotics,2026-04-06,03:49:34,Zone 5,MG Road Junction,13.077079,80.205264,Solved,Medium,0,30,Other,Monday,3,Drug Possession reported near University Gate.
Pickpocketing,Theft,2025-12-25,14:47:52,Zone 5,MG Road Junction,13.024335,80.273573,Solved,Medium,0,48,Other,Thursday,14,Pickpocketing reported near Hilltop Avenue.
Vehicle Theft,Theft,2026-01-23,13:16:16,Zone 1,North Bus Depot,13.055832,80.212489,Under Investigation,Low,0,24,Male,Friday,13,Vehicle Theft reported near University Gate.
Online Fraud,Cybercrime,2025-08-30,01:46:40,Zone 6,Old Town Square,13.090176,80.308739,Solved,Low,0,70,Female,Saturday,1,Online Fraud reported near MG Road Junction.
Vehicle Theft,Theft,2026-07-01,09:48:47,Zone 1,Central Market,13.131976,80.284434,Under Investigation,Low,0,44,Other,Wednesday,9,Vehicle Theft reported near Harbor Front.
Trespassing,Public Order,2025-09-10,20:22:20,Zone 3,Old Town Square,13.063347,80.209125,Pending,High,0,26,Male,Wednesday,20,Trespassing reported near Hilltop Avenue.
Drug Trafficking,Narcotics,2026-02-18,10:49:04,Zone 2,Lakeview Colony,13.026792,80.322597,Solved,Low,0,46,Male,Wednesday,10,Drug Trafficking reported near Hilltop Avenue.
Assault,Violent Crime,2025-09-13,00:16:56,Zone 4,Hilltop Avenue,13.041998,80.245956,Pending,Medium,1,25,Female,Saturday,0,Assault reported near Lakeview Colony.
Drug Trafficking,Narcotics,2026-05-01,09:20:23,Zone 5,MG Road Junction,13.108512,80.249294,Solved,High,0,51,Other,Friday,9,Drug Trafficking reported near MG Road Junction.
Hacking,Cybercrime,2026-04-01,09:54:39,Zone 6,Greenfield Sector 7,13.092022,80.289595,Solved,High,0,65,Other,Wednesday,9,Hacking reported near Hilltop Avenue.
Vehicle Theft,Theft,2026-03-01,21:55:25,Zone 2,Old Town Square,13.04315,80.275272,Pending,High,1,56,Other,Sunday,21,Vehicle Theft reported near Old Town Square.
Hacking,Cybercrime,2025-11-03,12:24:45,Zone 6,Riverside Park,13.124916,80.275231,Solved,Low,0,59,Male,Monday,12,Hacking reported near Riverside Park.
Identity Theft,Cybercrime,2026-04-19,13:42:42,Zone 6,Lakeview Colony,13.119588,80.255923,Solved,Low,0,64,Other,Sunday,13,Identity Theft reported near Riverside Park.
Drug Trafficking,Narcotics,2026-03-29,04:49:16,Zone 3,Lakeview Colony,13.015847,80.330451,Under Investigation,High,0,26,Female,Sunday,4,Drug Trafficking reported near Industrial Estate.
Burglary,Theft,2025-12-22,16:23:21,Zone 3,Harbor Front,13.089655,80.220613,Pending,Low,1,21,Female,Monday,16,Burglary reported near Lakeview Colony.
Public Intoxication,Public Order,2026-02-17,18:52:33,Zone 3,Hilltop Avenue,13.083535,80.337588,Solved,Medium,0,60,Other,Tuesday,18,Public Intoxication reported near Hilltop Avenue.
Identity Theft,Cybercrime,2026-05-08,14:44:03,Zone 2,Old Town Square,13.110488,80.245089,Pending,Low,0,31,Male,Friday,14,Identity Theft reported near North Bus Depot.
Online Fraud,Cybercrime,2025-10-20,14:56:45,Zone 2,Central Market,13.022249,80.307252,Under Investigation,High,0,22,Other,Monday,14,Online Fraud reported near Greenfield Sector 7.
Assault,Violent Crime,2025-10-11,19:12:15,Zone 4,Industrial Estate,13.097631,80.29164,Solved,Medium,0,30,Male,Saturday,19,Assault reported near Lakeview Colony.
Pickpocketing,Theft,2026-01-29,04:32:54,Zone 1,Riverside Park,13.067852,80.279108,Solved,High,1,29,Male,Thursday,4,Pickpocketing reported near MG Road Junction.
Drug Trafficking,Narcotics,2026-05-19,01:38:33,Zone 5,Old Town Square,13.150592,80.229802,Pending,Low,0,62,Female,Tuesday,1,Drug Trafficking reported near Greenfield Sector 7.
Vandalism,Public Order,2025-09-02,14:39:50,Zone 1,Hilltop Avenue,13.058027,80.332441,Under Investigation,Low,0,56,Other,Tuesday,14,Vandalism reported near Old Town Square.
Burglary,Theft,2026-03-19,13:21:53,Zone 1,Riverside Park,13.00692,80.212987,Under Investigation,Critical,0,29,Other,Thursday,13,Burglary reported near Greenfield Sector 7.
Drug Possession,Narcotics,2025-11-27,04:26:04,Zone 5,Hilltop Avenue,13.017456,80.340104,Solved,Medium,1,50,Female,Thursday,4,Drug Possession reported near University Gate.
Shoplifting,Theft,2026-03-16,21:27:27,Zone 1,Lakeview Colony,13.157306,80.309701,Pending,Medium,0,65,Male,Monday,21,Shoplifting reported near MG Road Junction.
Burglary,Theft,2026-01-12,11:38:05,Zone 2,University Gate,13.133608,80.312738,Solved,Low,0,29,Male,Monday,11,Burglary reported near Riverside Park.
Shoplifting,Theft,2026-01-15,17:32:35,Zone 2,Hilltop Avenue,13.032045,80.282227,Solved,Medium,0,57,Male,Thursday,17,Shoplifting reported near Greenfield Sector 7.
Identity Theft,Cybercrime,2026-06-26,05:57:35,Zone 2,Old Town Square,13.003493,80.27515,Solved,Medium,0,31,Female,Friday,5,Identity Theft reported near Harbor Front.
Drug Possession,Narcotics,2025-12-20,02:41:23,Zone 5,MG Road Junction,13.101021,80.210562,Pending,Low,0,54,Male,Saturday,2,Drug Possession reported near Hilltop Avenue.
Drug Possession,Narcotics,2026-02-18,13:59:01,Zone 3,Greenfield Sector 7,13.117044,80.263197,Solved,Low,0,61,Other,Wednesday,13,Drug Possession reported near Greenfield Sector 7.
Hacking,Cybercrime,2025-08-14,19:41:38,Zone 6,Railway Station Rd,13.124219,80.310063,Pending,Medium,0,21,Other,Thursday,19,Hacking reported near Old Town Square.
Shoplifting,Theft,2025-09-22,14:36:15,Zone 2,Greenfield Sector 7,13.026209,80.281154,Under Investigation,Low,0,55,Male,Monday,14,Shoplifting reported near Riverside Park.
Burglary,Theft,2026-02-16,17:27:25,Zone 2,Hilltop Avenue,13.092926,80.3444,Solved,Low,0,46,Male,Monday,17,Burglary reported near Lakeview Colony.
